Year,Country,unhcr_resettlement_arrivals_by_origin
2006,Sudan,5870.8
2007,Sudan,3752.8
2008,Sudan,2565.0
2009,Sudan,1485.4
2010,Sudan,1409.8
2011,Sudan,1687.8
2012,Sudan,1653.0
2013,Sudan,1939.6
2014,Sudan,2132.0
2015,Sudan,2011.0
2016,Sudan,1750.4
2017,Sudan,2155.2
2018,Sudan,1930.8
2019,Sudan,1742.0
1995,Switzerland,12.2
1996,Switzerland,15.4
1997,Switzerland,17.8
1998,Switzerland,14.8
1984,Syria,12.4
1985,Syria,6.0
1986,Syria,14.0
1988,Syria,16.0
1990,Syria,18.2
1991,Syria,20.8
1992,Syria,23.2
1993,Syria,22.8
1994,Syria,29.8
1995,Syria,33.8
1996,Syria,37.6
1997,Syria,43.0
1998,Syria,66.0
1999,Syria,61.8
2000,Syria,60.2
2001,Syria,57.8
2002,Syria,61.4
2003,Syria,40.6
2004,Syria,48.6
2005,Syria,48.6
2006,Syria,61.2
2007,Syria,63.0
2008,Syria,66.0
2009,Syria,73.8
2010,Syria,107.2
2011,Syria,211.0
2012,Syria,1470.2
2013,Syria,4999.0
2014,Syria,18145.8
2015,Syria,26145.2
2016,Syria,32849.0
2017,Syria,37712.8
2018,Syria,36402.6
2019,Syria,24578.4
1997,Tajikistan,26.8
1998,Tajikistan,30.6
1999,Tajikistan,33.4
2000,Tajikistan,34.4
2001,Tajikistan,18.2
2002,Tajikistan,28.0
2003,Tajikistan,30.0
2005,Tajikistan,28.4
2006,Tajikistan,27.6
2007,Tajikistan,26.0
2009,Tajikistan,14.4
2010,Tajikistan,11.8
2013,Tajikistan,10.6
1974,Tanzania,72.4
1980,Tanzania,22.8
1991,Tanzania,5.4
1992,Tanzania,5.4
1993,Tanzania,33.2
2002,Tanzania,99.6
2004,Tanzania,105.4
2005,Tanzania,109.6
2006,Tanzania,139.0
2007,Tanzania,113.8
2008,Tanzania,72.6
2009,Tanzania,72.0
2010,Tanzania,71.0
2011,Tanzania,49.0
2012,Tanzania,47.2
2013,Tanzania,26.6
2014,Tanzania,21.4
2015,Tanzania,22.4
2016,Tanzania,42.6
2017,Tanzania,71.8
2018,Tanzania,77.2
1992,Thailand,20.8
1993,Thailand,35.6
1994,Thailand,45.8
1995,Thailand,42.4
1996,Thailand,41.8
1997,Thailand,41.8
1999,Thailand,24.0
2001,Thailand,19.0
2002,Thailand,44.6
2004,Thailand,48.6
2005,Thailand,56.6
2006,Thailand,206.8
2007,Thailand,209.2
2008,Thailand,261.4
2009,Thailand,326.8
2010,Thailand,347.2
2011,Thailand,275.4
2012,Thailand,348.0
2013,Thailand,343.8
2014,Thailand,358.8
2015,Thailand,412.2
2016,Thailand,399.8
2017,Thailand,373.6
2018,Thailand,306.0
2019,Thailand,220.0
1972,Tibet,33.2
1973,Tibet,35.2
1998,Tibet,26.6
2006,Tibet,32.2
2008,Tibet,34.6
2009,Tibet,55.4
2010,Tibet,59.8
2014,Tibet,49.2
2015,Tibet,68.6
2017,Tibet,71.0
1997,Timor-Leste,61.2
2003,Timor-Leste,60.8
2004,Timor-Leste,54.4
2005,Timor-Leste,53.0
1993,Togo,13.8
1995,Togo,22.2
1996,Togo,28.2
1997,Togo,49.6
1998,Togo,148.8
1999,Togo,205.0
2000,Togo,204.2
2001,Togo,208.8
2002,Togo,202.0
2003,Togo,112.2
2004,Togo,57.0
2005,Togo,102.2
2006,Togo,164.6
2007,Togo,190.6
2008,Togo,194.2
2009,Togo,197.4
2010,Togo,151.0
2011,Togo,80.0
2012,Togo,46.8
2013,Togo,29.8
2014,Togo,24.2
2015,Togo,17.8
2016,Togo,18.0
1992,Tunisia,10.4
1994,Tunisia,12.2
1995,Tunisia,11.6
1998,Tunisia,11.6
1999,Tunisia,10.2
2000,Tunisia,12.2
2001,Tunisia,8.8
2003,Tunisia,8.2
2005,Tunisia,8.2
2006,Tunisia,8.4
2012,Tunisia,6.8
2015,Tunisia,8.0
1981,Turkey,14.2
1990,Turkey,22.6
1991,Turkey,32.8
1992,Turkey,45.8
1993,Turkey,46.2
1994,Turkey,42.2
1995,Turkey,35.6
1996,Turkey,31.8
1997,Turkey,32.8
1998,Turkey,31.2
1999,Turkey,51.2
2000,Turkey,70.6
2001,Turkey,70.2
2002,Turkey,61.2
2003,Turkey,61.4
2004,Turkey,41.8
2005,Turkey,21.8
2006,Turkey,18.2
2008,Turkey,13.2
2009,Turkey,18.6
2010,Turkey,20.2
2011,Turkey,21.2
2012,Turkey,22.4
2013,Turkey,26.8
2014,Turkey,25.0
2015,Turkey,34.4
2016,Turkey,43.4
2017,Turkey,56.0
2018,Turkey,71.8
2019,Turkey,78.4
1998,Turkmenistan,8.2
1999,Turkmenistan,8.2
2001,Turkmenistan,8.6
2002,Turkmenistan,14.0
2003,Turkmenistan,16.6
2004,Turkmenistan,18.2
2005,Turkmenistan,19.6
2006,Turkmenistan,19.2
2007,Turkmenistan,13.8
2009,Turkmenistan,9.2
2010,Turkmenistan,7.8
2012,Turkmenistan,6.4
2013,Turkmenistan,5.8
2015,Turkmenistan,8.4
1974,Uganda,1063.6
1975,Uganda,344.4
1976,Uganda,38.0
1977,Uganda,12.2
1978,Uganda,7.0
1980,Uganda,10.6
1981,Uganda,23.8
1982,Uganda,44.8
1983,Uganda,67.0
1984,Uganda,78.2
1985,Uganda,92.0
1986,Uganda,105.8
1987,Uganda,109.2
1988,Uganda,105.4
1989,Uganda,128.8
1990,Uganda,156.0
1991,Uganda,142.2
1992,Uganda,119.0
1993,Uganda,103.6
1994,Uganda,71.8
1995,Uganda,29.8
1996,Uganda,17.4
1997,Uganda,23.6
1998,Uganda,26.8
1999,Uganda,27.6
2000,Uganda,31.4
2001,Uganda,30.2
2002,Uganda,64.2
2003,Uganda,91.8
2004,Uganda,99.4
2005,Uganda,109.0
2006,Uganda,135.6
2007,Uganda,100.6
2008,Uganda,88.0
2009,Uganda,84.8
2010,Uganda,79.2
2011,Uganda,58.2
2012,Uganda,73.4
2013,Uganda,70.6
2014,Uganda,84.4
2015,Uganda,90.6
2016,Uganda,122.8
2017,Uganda,152.8
2018,Uganda,147.0
2019,Uganda,129.2
1994,Ukraine,114.0
1995,Ukraine,57.6
1996,Ukraine,15.2
1997,Ukraine,1726.2
1998,Ukraine,3161.2
1999,Ukraine,4548.8
2000,Ukraine,5550.4
2001,Ukraine,6557.4
2002,Ukraine,5540.0
2003,Ukraine,4683.8
2004,Ukraine,3792.6
2005,Ukraine,3111.6
2006,Ukraine,2304.0
2007,Ukraine,1719.2
2008,Ukraine,1226.0
2009,Ukraine,820.2
2010,Ukraine,568.0
2011,Ukraine,403.4
2012,Ukraine,425.2
2013,Ukraine,691.6
2014,Ukraine,1328.4
2015,Ukraine,1875.4
2016,Ukraine,2453.8
2017,Ukraine,3123.0
2018,Ukraine,3106.6
2019,Ukraine,2452.4
1993,United Arab Emirates,23.2
1994,United Arab Emirates,15.2
1995,United Arab Emirates,14.0
1999,United Arab Emirates,7.4
2001,United Arab Emirates,6.4
2009,United Arab Emirates,6.6
2010,United Arab Emirates,6.4
2014,United Arab Emirates,6.0
2015,United Arab Emirates,6.8
1992,United Kingdom,21.0
1993,United Kingdom,12.8
1994,United Kingdom,7.8
1995,United Kingdom,7.8
1996,United Kingdom,7.6
1998,United Kingdom,6.8
2002,United Kingdom,6.0
2006,United Kingdom,5.0
1992,United States,70.8
1993,United States,46.6
1994,United States,26.8
1995,United States,12.2
2010,United States,7.4
2015,United States,7.8
2016,United States,13.8
2017,United States,16.2
2018,United States,18.0
1961,Unknown,116.0
1962,Unknown,98.2
1963,Unknown,103.4
1964,Unknown,83.0
1965,Unknown,62.8
1966,Unknown,78.0
1967,Unknown,65.0
1968,Unknown,59.4
1969,Unknown,64.0
1970,Unknown,78.6
1971,Unknown,77.0
1972,Unknown,74.4
1973,Unknown,85.6
1974,Unknown,974.4
1975,Unknown,2608.4
1976,Unknown,4562.4
1977,Unknown,8416.0
1978,Unknown,14280.2
1979,Unknown,18646.6
1980,Unknown,21798.2
1981,Unknown,24218.6
1982,Unknown,23975.0
1983,Unknown,21550.4
1984,Unknown,19219.0
1985,Unknown,17283.0
1986,Unknown,15973.0
1987,Unknown,15777.8
1988,Unknown,15440.2
1989,Unknown,14616.8
1990,Unknown,12543.0
1991,Unknown,9767.8
1992,Unknown,6562.6
1993,Unknown,3690.4
1994,Unknown,2220.0
1995,Unknown,1441.8
1996,Unknown,1206.8
1997,Unknown,1065.0
1998,Unknown,993.4
1999,Unknown,428.8
2000,Unknown,823.2
2001,Unknown,1122.2
2002,Unknown,1148.4
2003,Unknown,1029.2
2004,Unknown,959.2
2005,Unknown,578.4
2006,Unknown,369.2
2007,Unknown,488.8
2008,Unknown,669.4
2009,Unknown,785.4
2010,Unknown,757.2
2011,Unknown,599.8
2012,Unknown,392.4
2013,Unknown,173.2
2014,Unknown,71.6
2015,Unknown,96.2
2016,Unknown,213.0
2017,Unknown,346.2
2018,Unknown,383.0
2019,Unknown,397.6
1980,Uruguay,54.4
1981,Uruguay,62.4
1982,Uruguay,81.6
1983,Uruguay,72.0
1994,Uzbekistan,17.8
1995,Uzbekistan,182.0
1998,Uzbekistan,314.0
1999,Uzbekistan,450.4
2000,Uzbekistan,530.8
2001,Uzbekistan,567.4
2002,Uzbekistan,488.4
2003,Uzbekistan,439.8
2004,Uzbekistan,476.4
2005,Uzbekistan,467.2
2006,Uzbekistan,491.8
2007,Uzbekistan,449.8
2008,Uzbekistan,427.6
2009,Uzbekistan,283.4
2010,Uzbekistan,246.4
2011,Uzbekistan,192.4
2012,Uzbekistan,156.2
2013,Uzbekistan,97.0
2014,Uzbekistan,76.4
2015,Uzbekistan,49.0
2016,Uzbekistan,43.0
2017,Uzbekistan,33.0
2018,Uzbekistan,26.2
2001,Venezuela,5.6
2005,Venezuela,5.6
2006,Venezuela,5.6
2008,Venezuela,5.6
2009,Venezuela,5.4
2011,Venezuela,5.4
2012,Venezuela,5.6
2015,Venezuela,15.6
2018,Venezuela,18.8
2019,Venezuela,23.2
1976,Vietnam,1528.0
1977,Vietnam,5522.0
1978,Vietnam,10111.2
1979,Vietnam,11183.6
1980,Vietnam,20745.4
1981,Vietnam,26226.8
1982,Vietnam,27919.0
1983,Vietnam,28668.0
1984,Vietnam,32561.8
1985,Vietnam,28374.8
1986,Vietnam,27169.2
1987,Vietnam,29128.8
1988,Vietnam,33097.4
1989,Vietnam,37531.6
1990,Vietnam,41881.4
1991,Vietnam,46957.2
1992,Vietnam,47468.8
1993,Vietnam,44421.8
1994,Vietnam,38170.8
1995,Vietnam,29921.8
1996,Vietnam,22495.0
1997,Vietnam,16329.8
1998,Vietnam,10216.4
1999,Vietnam,7234.4
2000,Vietnam,6180.4
2001,Vietnam,4322.2
2002,Vietnam,2533.6
2003,Vietnam,2177.0
2004,Vietnam,2203.0
2005,Vietnam,1952.4
2006,Vietnam,1874.0
2007,Vietnam,2027.6
2008,Vietnam,1687.4
2009,Vietnam,1074.2
2010,Vietnam,764.4
2011,Vietnam,533.4
2012,Vietnam,201.4
2013,Vietnam,110.4
2014,Vietnam,84.0
2015,Vietnam,82.0
2016,Vietnam,92.8
2017,Vietnam,90.4
2018,Vietnam,83.0
1993,Yemen,11.0
1994,Yemen,10.6
1995,Yemen,12.8
1997,Yemen,14.4
1999,Yemen,10.8
2001,Yemen,11.4
2003,Yemen,14.0
2004,Yemen,12.6
2005,Yemen,15.6
2006,Yemen,26.2
2007,Yemen,26.6
2009,Yemen,24.6
2010,Yemen,23.8
2011,Yemen,21.0
2012,Yemen,13.2
2013,Yemen,14.4
2014,Yemen,19.2
2015,Yemen,24.8
2016,Yemen,35.4
2017,Yemen,64.2
2018,Yemen,76.2
2019,Yemen,82.2
1995,Zambia,10.4
1996,Zambia,10.8
1997,Zambia,12.2
1998,Zambia,12.2
2003,Zambia,9.4
2005,Zambia,7.0
2006,Zambia,16.8
2008,Zambia,18.8
2010,Zambia,19.6
2011,Zambia,23.2
2012,Zambia,26.2
2013,Zambia,20.2
2014,Zambia,16.8
2015,Zambia,16.2
2003,Zimbabwe,14.6
2005,Zimbabwe,14.6
2006,Zimbabwe,20.6
2007,Zimbabwe,21.6
2008,Zimbabwe,25.2
2009,Zimbabwe,22.6
2010,Zimbabwe,30.2
2011,Zimbabwe,27.8
2012,Zimbabwe,29.6
2013,Zimbabwe,26.2
2014,Zimbabwe,25.0
2015,Zimbabwe,17.2
2016,Zimbabwe,14.6
2017,Zimbabwe,11.2
